boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total,violation,misdemeanor,felony,population,pop_per_sq_mile
Queens,11427,140,,,,,,130,616,105,851,161,148,7982,1148,3960,2874,23014,15531.36
Queens,11428,179,,,,,,99,518,170,787,244,148,1777,264,836,677,21023,25192.34
Queens,11429,187,,,,,,142,821,266,1229,541,297,17902,2459,8659,6784,27647,20794.49
Queens,11414,255,,,,,,91,332,114,537,295,269,4365,718,2124,1523,28121,12292.73
Queens,11415,123,,,,,,404,1484,265,2153,127,132,2234,366,1187,681,20956,35355.55
Queens,11416,260,,,,,,252,864,301,1417,462,411,11112,1412,5863,3837,23668,34977.35
Queens,11417,301,,,,,,187,746,261,1194,527,479,21739,3152,11190,7397,28607,25964.14
Queens,11418,454,,,,,,586,2201,670,3457,567,419,16493,2466,8695,5332,36571,22694.55
Queens,11419,662,,,,,,403,1641,592,2636,838,491,25609,3969,12884,8756,48867,43351.49
Queens,11420,490,,,,,,268,1409,542,2219,1028,557,21717,3233,10752,7732,45498,21430.46
Queens,11421,313,,,,,,396,1390,433,2219,499,358,18065,2272,9702,6091,37664,30881.52
Queens,11368,756,1,1,0,113,115,1836,5619,1725,9180,3128,6346,36798,3828,20367,12603,98841,38864.33
Queens,11369,202,,,,,,514,1614,546,2674,476,328,18725,2108,10886,5731,36110,32616.57
Queens,11370,150,,,,,,115,475,121,711,418,1574,8306,865,4733,2708,43142,30152.15
Queens,11372,615,2,6,0,70,78,1398,4452,1420,7270,2870,8199,35732,4048,19892,11792,71308,97325.47
Queens,11373,546,,,,,,1396,4673,1241,7310,2408,6974,38179,3370,23170,11639,105723,60548.99
Queens,11377,660,6,1,1,94,102,1414,4909,1115,7438,1612,2145,34159,4355,18428,11376,88339,34536.25
Queens,11378,469,,,,,,167,660,309,1136,779,1294,13325,1733,7506,4086,34053,13268.8
StatenIsland,10302,262,,,,,,477,1770,433,2680,1480,660,16281,2573,9881,3827,16406,13875.4
StatenIsland,10303,250,,,,,,760,2636,717,4113,1829,1177,21575,3770,13064,4741,23530,5426
StatenIsland,10310,328,,,,,,350,1606,442,2398,1602,787,15896,2841,9495,3560,22852,12829.03
StatenIsland,10306,584,,,,,,188,635,213,1036,1544,1892,23571,4833,13999,4739,55698,7104.18
StatenIsland,10307,166,,,,,,32,163,62,257,416,275,6246,1328,3615,1303,11669,7091.02
StatenIsland,10308,211,,,,,,56,146,44,246,636,555,9292,2120,5290,1882,26451,14230.06
StatenIsland,10309,400,,,,,,22,113,32,167,569,443,12179,2195,7344,2640,27207,3862.03
StatenIsland,10312,518,,,,,,56,197,78,331,1065,947,17269,3418,10231,3620,58867,7013.96
StatenIsland,10301,338,,,,,,1519,5882,1431,8832,3661,4502,28168,5402,16845,5921,38805,10327.23
StatenIsland,10304,348,,,,,,1288,4177,1081,6546,2719,1904,32761,5846,19571,7344,38972,10617.85
StatenIsland,10305,512,,,,,,192,592,167,951,1839,2052,16028,3301,9349,3378,38450,8962.46
StatenIsland,10314,837,,,,,,254,745,185,1184,1640,2004,35639,6444,22260,6935,84821,6550.27
