14414	1
14450	11
14450 0457	1
14467	1
14526	1
14614	5
14615	1
14616	1
14618	2
14621	2
14624	1
14626	1
14644	1
14692	1
14692-2878	3
14701	2
14710	1
14845	1
14850	1
14883	1
14892	1
14901	1
15205	1
15210-7834	1
15219	2
15237	1
15250-7834	1
15251	1
15257	1
15262-2001	1
15544	1
15563	1
1566	1
16601	1
1691	1
16915	1
17015	1
17032	2
17055	1
17055-0010	1
17071	1
17104	3
17105	1
171052461	1
17106	4
17106-7015	5
17108	4
17108-0988	5
17109-0988	1
1711-1036	1
17111	18
17111-1036	1
171111	1
17332	1
1735-9100	1
17446	1
17451	1
17460	1
1749	1
17602	1
17608	1
17701	1
17754	1
1797	1
18002	2
18015	1
18042	1
18102	1
18324	3
18344	1
18355	1
18436	1
18466	1
1850	1
18503	1
18504	1
18505	1
18508	1
18518	1
18519	5
18519-1641	2
18547	1
18577	1
18644	1
18706	2
18711	1
18773	6
18773-4200	1
18773-9460	1
18773-9500	2
18773-9635	1
18773-9640	1
187739500	1
